Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 10:13:57 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"232041","NS67NW 70","Peathill Wood, Newlands, Civil Starfish Ql","Bomb Crater(S) (Second World War), Bunker (20th Century), Decoy Site (20th Century)","260500","676140","EAST DUNBARTONSHIRE","STIRLINGSHIRE","CAMPSIE","NS 6050 7614","http://canmore.org.uk/site/232041",
"35964","NO66NW 34","Dalladies","Bomb Crater (20th Century)","362850","767520","ABERDEENSHIRE","KINCARDINESHIRE","FETTERCAIRN","NO 6285 6752","http://canmore.org.uk/site/35964",
"118226","NJ90SE 19","Tullos Hill","Bomb Crater(S) (Second World War)(Possible), Cairn(S) (Period Unassigned), Cist (Period Unassigned)(Possible)","396000","804000","ABERDEEN, CITY OF","ABERDEENSHIRE","ABERDEEN","NJ 960 040","http://canmore.org.uk/site/118226",
"351543","NT66NE 45","Crystal Rig","Bomb Crater (Second World War)","367470","668602","EAST LOTHIAN","EAST LOTHIAN","INNERWICK (EAST LOTHIAN)","NT 67470 68602","http://canmore.org.uk/site/351543",
"353310","NS27SE 174","Lurg Moor","Bomb Crater(S) (Second World War)","229960","672971","INVERCLYDE","RENFREWSHIRE","KILMACOLM","NS 29960 72971","http://canmore.org.uk/site/353310",
"353313","NS27NW 184","Greenock, Ravenscraig","Bomb Crater(S) (Second World War)","224221","675528","INVERCLYDE","RENFREWSHIRE","INVERKIP","NS 24221 75528","http://canmore.org.uk/site/353313",
"353324","NS27SW 113","Drumillan Hill","Bomb Crater(S) (Second World War)","223038","674942","INVERCLYDE","RENFREWSHIRE","INVERKIP","NS 23038 74942","http://canmore.org.uk/site/353324",
"353325","NS27NE 444","Greenock, Wellington Park","Bomb Crater(S) (Second World War)","227828","675218","INVERCLYDE","RENFREWSHIRE","GREENOCK","NS 27828 75218","http://canmore.org.uk/site/353325",
"353326","NS37SW 225","Greenock, Port Glasgow, Kilmacolm","Bomb Crater(S) (Second World War)","230543","673816","INVERCLYDE","RENFREWSHIRE","GREENOCK","NS 30543 73816","http://canmore.org.uk/site/353326",
"353327","NS36NE 172","Barfillan","Bomb Crater(S) (Second World War)","239206","668494","RENFREWSHIRE","RENFREWSHIRE","HOUSTON","NS 39206 68494","http://canmore.org.uk/site/353327",
